StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,att_1,att_2,connect_id,valence_4,sociality_4,comp_1,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,edu,edu_8_TEXT,participantId,condition,prompt
2024-07-14 13:08:47,2024-07-14 13:10:18,0,100,91,1,2024-07-14 13:10:19,R_1dpqGSen5juhWYR,anonymous,EN,1,1,2,2,4B5759A1BC32459BA64A7C00E871345D,90,97,5,34,2,,3,,4,,4B5759A1BC32459BA64A7C00E871345D,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:14,2024-07-14 13:10:20,0,100,66,1,2024-07-14 13:10:21,R_1i5annqEEUJEVQv,anonymous,EN,1,1,2,2,9191AEBFFCB14CC3A40C7B479CC63EBF,98,100,5,26,2,,1,,4,,9191AEBFFCB14CC3A40C7B479CC63EBF,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:29,2024-07-14 13:10:21,0,100,52,1,2024-07-14 13:10:21,R_67PvFR66WyqPPah,anonymous,EN,1,1,2,2,2FAAB38BDC9D4CD989A266BD6D8202FB,66,71,5,25,2,,3,,4,,2FAAB38BDC9D4CD989A266BD6D8202FB,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:31,2024-07-14 13:10:25,0,100,54,1,2024-07-14 13:10:26,R_6wLXxfR7rhFs4Vi,anonymous,EN,1,1,2,2,71B0E83D84E9405FB0668CA8C74256D8,100,88,2,21,1,,3,,3,,71B0E83D84E9405FB0668CA8C74256D8,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:08:54,2024-07-14 13:10:26,0,100,91,1,2024-07-14 13:10:27,R_1F1XMtifyjlljAW,anonymous,EN,1,1,2,2,9542EAD3CA434146BEE2D324017222DB,100,50,2,31,2,,1,,3,,9542EAD3CA434146BEE2D324017222DB,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:09:36,2024-07-14 13:10:28,0,100,52,1,2024-07-14 13:10:29,R_71nuyHKU5Jn0Ifb,anonymous,EN,1,1,2,2,6112B0DBD0B94CD29A795AC300B813EA,100,100,5,33,1,,3,,1,,6112B0DBD0B94CD29A795AC300B813EA,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:04,2024-07-14 13:10:30,0,100,85,1,2024-07-14 13:10:30,R_31F6ttYEm6Y49Kw,anonymous,EN,1,1,2,2,722F62C61E5D4CAB9781C37D4A491A80,69,83,5,26,2,,1,,4,,722F62C61E5D4CAB9781C37D4A491A80,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:20,2024-07-14 13:10:30,0,100,70,1,2024-07-14 13:10:30,R_1GA0vSLGGhdoHip,anonymous,EN,1,1,2,2,3DBFA90FC38D4A6F8701C3378F0197A1,94,100,2,49,2,,3,,3,,3DBFA90FC38D4A6F8701C3378F0197A1,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:08:53,2024-07-14 13:10:35,0,100,102,1,2024-07-14 13:10:36,R_1Ov2sUvMP0oTbvT,anonymous,EN,1,1,2,2,9549B10742314771B435C1035A83D4E8,62,70,2,25,1,,3,,4,,9549B10742314771B435C1035A83D4E8,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:09,2024-07-14 13:10:38,0,100,29,1,2024-07-14 13:10:38,R_5AvQlRYqM3SkuYN,anonymous,EN,1,1,2,1,01A4A3D8DB3E44BAA3F9DE88CB8BE7F8,,,,,,,,,,,01A4A3D8DB3E44BAA3F9DE88CB8BE7F8,,
2024-07-14 13:10:00,2024-07-14 13:10:46,0,100,46,1,2024-07-14 13:10:47,R_116ZHYAbeChVVk0,anonymous,EN,1,1,2,2,9D5F3F4895C44809869DFC1FD37CD948,100,100,5,35,1,,2,,5,,9D5F3F4895C44809869DFC1FD37CD948,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:08:58,2024-07-14 13:10:51,0,100,112,1,2024-07-14 13:10:51,R_6flKGptOm8fIZS3,anonymous,EN,1,1,2,2,280F87F3AE2B44ADB7DC847889859CDB,81,88,2,42,1,,3,,5,,280F87F3AE2B44ADB7DC847889859CDB,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:10,2024-07-14 13:10:51,0,100,40,1,2024-07-14 13:10:51,R_1cNCJiqC7yZzIM9,anonymous,EN,1,1,2,2,41A5878AE0604434AA9D841487F56A63,77,94,2,47,1,,3,,7,,41A5878AE0604434AA9D841487F56A63,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:14,2024-07-14 13:10:57,0,100,42,1,2024-07-14 13:10:57,R_30UYkBuxCmb4JTI,anonymous,EN,1,1,2,2,FCE7FEC6F3A240FAB198A2F8B14C9471,100,39,5,35,1,,2,,4,,FCE7FEC6F3A240FAB198A2F8B14C9471,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:06,2024-07-14 13:10:59,0,100,113,1,2024-07-14 13:11:00,R_7SXyNMWYmewJbxf,anonymous,EN,1,1,2,2,33E5EF167DF94C4EA3154B3E055B2626,90,80,2,25,2,,1,,5,,33E5EF167DF94C4EA3154B3E055B2626,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:22,2024-07-14 13:11:08,0,100,46,1,2024-07-14 13:11:09,R_3iwDHJzIaWB7mRb,anonymous,EN,1,1,2,2,B897A19D46D144E19E5EC28C5AB8570E,100,100,5,32,2,,3,,4,,B897A19D46D144E19E5EC28C5AB8570E,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:39,2024-07-14 13:11:10,0,100,90,1,2024-07-14 13:11:10,R_7c1Um2BbwXvTBvz,anonymous,EN,1,1,2,2,15E4656B8F3144F7AFEE46407E554CE6,70,100,5,36,1,,3,,1,,15E4656B8F3144F7AFEE46407E554CE6,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:10:19,2024-07-14 13:11:13,0,100,54,1,2024-07-14 13:11:14,R_6INXRuDvgJZu8E1,anonymous,EN,1,1,2,2,A16507A01E054B5A92578E283F928636,43,35,2,28,1,,3,,1,,A16507A01E054B5A92578E283F928636,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:13,2024-07-14 13:11:15,0,100,61,1,2024-07-14 13:11:16,R_6K1fORT21DNwqcW,anonymous,EN,1,1,2,2,5AC725BFACA64465AF28158E7DF949E5,75,70,2,26,2,,3,,1,,5AC725BFACA64465AF28158E7DF949E5,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:08,2024-07-14 13:11:19,0,100,71,1,2024-07-14 13:11:20,R_1G4y36zoOvpRrzz,anonymous,EN,1,1,2,2,310D85718C474C57A86502E4E94A0A50,85,80,2,33,1,,"3,4",,4,,310D85718C474C57A86502E4E94A0A50,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:09:24,2024-07-14 13:11:21,0,100,117,1,2024-07-14 13:11:21,R_12Q9bjgsLKaNQWD,anonymous,EN,1,1,2,2,E54A61DBE6FF476197309CE8FE625AB5,64,67,2,30,2,,3,,4,,E54A61DBE6FF476197309CE8FE625AB5,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:05,2024-07-14 13:11:28,0,100,83,1,2024-07-14 13:11:28,R_1hsxUzlnqZmLvgA,anonymous,EN,1,1,2,2,A266CB127F334F06A9AC44BE869D05AC,100,100,5,70,2,,3,,3,,A266CB127F334F06A9AC44BE869D05AC,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:55,2024-07-14 13:11:34,0,100,98,1,2024-07-14 13:11:34,R_6KsdOzc0O3OXrIl,anonymous,EN,1,1,2,2,C5C734EB86A040C3839EDDD1E76719BE,91,100,5,20,1,,3,,3,,C5C734EB86A040C3839EDDD1E76719BE,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:10:13,2024-07-14 13:11:34,0,100,80,1,2024-07-14 13:11:35,R_1D7GlGqPPRFy3UJ,anonymous,EN,1,1,2,2,EAAAEBFA94524E8F9583D354E056D324,85,75,2,54,2,,4,,4,,EAAAEBFA94524E8F9583D354E056D324,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:09:38,2024-07-14 13:11:34,0,100,115,1,2024-07-14 13:11:35,R_6EgTc7H1bu9q9Lr,anonymous,EN,1,1,2,2,2B9C6602CEC4424EB494CAFF06EF44F4,50,70,2,51,2,,3,,5,,2B9C6602CEC4424EB494CAFF06EF44F4,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:08:53,2024-07-14 13:11:39,0,100,165,1,2024-07-14 13:11:39,R_1GkC8kRYSgTxDHR,anonymous,EN,1,1,2,2,E6EA10D13F744B7B865BF90143E9A2E4,80,85,5,47,1,,3,,3,,E6EA10D13F744B7B865BF90143E9A2E4,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:11:03,2024-07-14 13:11:48,0,100,44,1,2024-07-14 13:11:48,R_7ZWSeiGCI8k3rDJ,anonymous,EN,1,1,2,2,CCD7BA5BE4EA44378B6FC2DC6A326C0F,86,93,5,28,1,,3,,5,,CCD7BA5BE4EA44378B6FC2DC6A326C0F,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:10:45,2024-07-14 13:11:50,0,100,64,1,2024-07-14 13:11:50,R_7kodJhpvmvL9fAc,anonymous,EN,,1,2,2,2E3A1785F7474A60A7F8D7BAF536E3B3,90,80,5,39,2,,2,,3,,2E3A1785F7474A60A7F8D7BAF536E3B3,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:10:23,2024-07-14 13:11:51,0,100,87,1,2024-07-14 13:11:52,R_6eaIdFoyCfkou5Y,anonymous,EN,1,1,2,2,9E2F1E0EEB0A4E7C994E42800EE000E2,53,42,2,40,2,,3,,4,,9E2F1E0EEB0A4E7C994E42800EE000E2,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:39,2024-07-14 13:11:56,0,100,77,1,2024-07-14 13:11:56,R_1FEewQSK8oQUH5j,anonymous,EN,1,1,2,2,2FFC47508F774970AC9733C028E9981A,70,71,2,78,1,,3,,2,,2FFC47508F774970AC9733C028E9981A,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:50,2024-07-14 13:11:58,0,100,67,1,2024-07-14 13:11:59,R_1uphefFcfEli9sB,anonymous,EN,1,1,2,2,B29C6BDD041846C0AA7F3DDB9D6EA8CA,90,100,5,38,2,,3,,3,,B29C6BDD041846C0AA7F3DDB9D6EA8CA,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:10:54,2024-07-14 13:11:59,0,100,64,1,2024-07-14 13:11:59,R_6x244cVYjqyPQUF,anonymous,EN,1,1,2,2,5A5F0E6087A24BD29E3AEDAE1636F964,100,80,2,33,1,,4,,2,,5A5F0E6087A24BD29E3AEDAE1636F964,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:08,2024-07-14 13:12:14,0,100,126,1,2024-07-14 13:12:15,R_6kHUdCVz3EgZOF4,anonymous,EN,1,1,2,2,4770D952B2824FACB2C6849027F666C5,86,92,5,37,2,,3,,5,,4770D952B2824FACB2C6849027F666C5,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:10:21,2024-07-14 13:12:27,0,100,126,1,2024-07-14 13:12:28,R_6OJvufXEOWIEWzq,anonymous,EN,0.800000011920929,1,2,2,CA93BC170A0847C286E561B165EE8554,50,90,5,25,2,,3,,4,,CA93BC170A0847C286E561B165EE8554,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:32,2024-07-14 13:12:47,0,100,194,1,2024-07-14 13:12:47,R_7YoeKCUyCIkxi2e,anonymous,EN,1,1,2,2,59F697E7D9844BDBAC6579AD180CB1FD,70,70,2,42,1,,3,,4,,59F697E7D9844BDBAC6579AD180CB1FD,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:41,2024-07-14 13:12:48,0,100,126,1,2024-07-14 13:12:48,R_6YblLm0AwKKAeyi,anonymous,EN,0.800000011920929,1,2,2,78B3FFF6DFD04735A8A31C935AC0E8DC,100,70,2,56,2,,3,,5,,78B3FFF6DFD04735A8A31C935AC0E8DC,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:10:41,2024-07-14 13:13:01,0,100,139,1,2024-07-14 13:13:01,R_7waBcDM37vM0Avs,anonymous,EN,1,1,2,2,D6524B8F60374CE3949477E517C69CE8,97,100,5,31,1,,3,,4,,D6524B8F60374CE3949477E517C69CE8,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:10:04,2024-07-14 13:13:23,0,100,198,1,2024-07-14 13:13:23,R_3fqrfmk6GkIzEnU,anonymous,EN,1,1,2,2,AAE9AF51AA8C4700AF2AF74D0658046B,82,67,2,39,2,,3,,1,,AAE9AF51AA8C4700AF2AF74D0658046B,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:08:56,2024-07-14 13:13:34,0,100,277,1,2024-07-14 13:13:35,R_6eLPpwMPA1LJXIl,anonymous,EN,1,1,2,2,B5495885FB234591B21D9AE6C738F0A2,91,86,5,29,2,,3,,4,,B5495885FB234591B21D9AE6C738F0A2,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:09:37,2024-07-14 13:14:04,0,100,267,1,2024-07-14 13:14:04,R_3fGIDljyzp58FLi,anonymous,EN,1,1,2,2,1A2BF155B513457BB6B47714EA5EBBD4,88,81,5,27,2,,3,,4,,1A2BF155B513457BB6B47714EA5EBBD4,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:10:31,2024-07-14 13:14:16,0,100,224,1,2024-07-14 13:14:16,R_61yVruRfBQM9OFa,anonymous,EN,1,1,2,2,2ABC6ED4106141FCBBF98AF2778DA134,100,100,2,72,2,,3,,5,,2ABC6ED4106141FCBBF98AF2778DA134,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:09:38,2024-07-14 13:16:23,0,100,405,1,2024-07-14 13:16:24,R_7ey41t42KUpzybX,anonymous,EN,1,1,2,1,8E1272409CF642F5AB2F9D4E6224DF9A,,,,,,,,,,,8E1272409CF642F5AB2F9D4E6224DF9A,,
2024-07-14 13:16:46,2024-07-14 13:20:48,0,100,241,1,2024-07-14 13:20:48,R_5cVBd0woxMADKmZ,anonymous,EN,1,1,2,2,0D5CDA8A7BF3485CAF0441481FA1B5CE,100,100,5,37,1,,3,,1,,0D5CDA8A7BF3485CAF0441481FA1B5CE,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:25:53,2024-07-14 13:26:56,0,100,62,1,2024-07-14 13:26:57,R_3fkaRJpEHGpOp65,anonymous,EN,1,1,2,2,16BD92D3744F4002919E927F42836452,100,100,2,47,1,,3,,3,,16BD92D3744F4002919E927F42836452,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:32:32,2024-07-14 13:33:06,0,100,33,1,2024-07-14 13:33:06,R_7XmOWrgKdxtNTRG,anonymous,EN,1,1,2,2,F4F5C8D165814B4F9EE708009E6232F8,100,77,2,20,1,,2,,3,,F4F5C8D165814B4F9EE708009E6232F8,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:32:51,2024-07-14 13:33:46,0,100,55,1,2024-07-14 13:33:47,R_6QitTqqwzvkzAB0,anonymous,EN,1,1,2,2,2388E9E0EFDB46C09C283A931C7C9DDE,90,78,2,37,2,,3,,7,,2388E9E0EFDB46C09C283A931C7C9DDE,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:33:09,2024-07-14 13:34:09,0,100,60,1,2024-07-14 13:34:10,R_5IrQpNYdsiLml9N,anonymous,EN,1,1,2,2,8B2E9F1EFC6748C799F3ADEBF49DC920,85,90,5,27,2,,3,,3,,8B2E9F1EFC6748C799F3ADEBF49DC920,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:33:24,2024-07-14 13:34:12,0,100,48,1,2024-07-14 13:34:12,R_6Gf9mvKtdp5BVNS,anonymous,EN,1,1,2,2,E41CA38F3EC144C2B14D433EA59D04FE,72,99,5,43,2,,"3,4",,3,,E41CA38F3EC144C2B14D433EA59D04FE,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:34:04,2024-07-14 13:34:16,0,100,12,1,2024-07-14 13:34:17,R_3sQKBOhzY2Rcocp,anonymous,EN,1,1,2,1,0EEFF75525664E569091A96B0B1957FE,,,,,,,,,,,0EEFF75525664E569091A96B0B1957FE,,
2024-07-14 13:33:26,2024-07-14 13:34:18,0,100,51,1,2024-07-14 13:34:18,R_3dEV68nEYE264Y6,anonymous,EN,1,1,2,2,6140C363C73D40E0928DE1467073008B,44,60,5,33,1,,3,,3,,6140C363C73D40E0928DE1467073008B,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:33:36,2024-07-14 13:34:35,0,100,59,1,2024-07-14 13:34:36,R_5qn6YqgoQnZ1HCp,anonymous,EN,1,1,2,2,A961CCE75BB24BEAB08C22C613AEF010,30,20,5,50,1,,3,,4,,A961CCE75BB24BEAB08C22C613AEF010,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:33:36,2024-07-14 13:34:39,0,100,63,1,2024-07-14 13:34:40,R_1sbGTJPOpQPgw6y,anonymous,EN,1,1,2,2,9E264DC46641457DB60FD8AF3DA3F298,45,45,2,37,1,,2,,5,,9E264DC46641457DB60FD8AF3DA3F298,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:32:58,2024-07-14 13:34:47,0,100,109,1,2024-07-14 13:34:48,R_6hsgUFJcvu4OWPo,anonymous,EN,1,1,2,2,8A220FB82DD042A0AAF5BC1293BFC183,80,90,2,69,2,,3,,3,,8A220FB82DD042A0AAF5BC1293BFC183,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:33:21,2024-07-14 13:34:53,0,100,92,1,2024-07-14 13:34:54,R_5rPm3FdRhoCgpcC,anonymous,EN,1,1,2,2,FFE64A709FF9497DADC3F658B07E88BD,67,70,2,52,2,,3,,1,,FFE64A709FF9497DADC3F658B07E88BD,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:34:05,2024-07-14 13:34:54,0,100,48,1,2024-07-14 13:34:54,R_6HmF7RkvbfywhjP,anonymous,EN,1,1,2,2,D7DFE89C1CA84D0C8547B9956FE1F41B,78,87,2,39,2,,3,,3,,D7DFE89C1CA84D0C8547B9956FE1F41B,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:32:56,2024-07-14 13:34:56,0,100,120,1,2024-07-14 13:34:57,R_6M5Nz0vrfUVv3lF,anonymous,EN,0.6000000238418579,1,2,2,47CF48DACA83417FA404BDD33523FC05,100,100,2,26,2,,1,,5,,47CF48DACA83417FA404BDD33523FC05,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:33:26,2024-07-14 13:35:00,0,100,93,1,2024-07-14 13:35:02,R_5nq5wEMbDZvB2oB,anonymous,EN,0.800000011920929,1,2,2,978F8C18169849F0A54D3AFC0CD94C7E,39,99,2,39,2,,3,,3,,978F8C18169849F0A54D3AFC0CD94C7E,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:33:06,2024-07-14 13:35:05,0,100,118,1,2024-07-14 13:35:05,R_6jSLyF66XgIXL89,anonymous,EN,1,1,2,2,031CF2503CCB4331A5B7C1CB42CCDCD9,20,75,2,19,2,,5,,3,,031CF2503CCB4331A5B7C1CB42CCDCD9,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:34:20,2024-07-14 13:35:05,0,100,45,1,2024-07-14 13:35:05,R_1SxlFPhSyjnTwg4,anonymous,EN,1,1,2,2,56BBEE1F87854686AE261F9660BCD457,70,70,2,25,1,,3,,4,,56BBEE1F87854686AE261F9660BCD457,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
2024-07-14 13:33:39,2024-07-14 13:35:10,0,100,90,1,2024-07-14 13:35:10,R_5kWADBHH5sHcJCp,anonymous,EN,1,1,2,2,54E698132D0F45B992E0BBAABE0228BE,70,81,5,64,1,,3,,4,,54E698132D0F45B992E0BBAABE0228BE,concrete,Consider the trait of expressing tremendous excitement to see you and enthusiastically inviting you to do fun activities.
2024-07-14 13:34:05,2024-07-14 13:35:12,0,100,66,1,2024-07-14 13:35:12,R_61ZrSwb3DlfHUUV,anonymous,EN,1,1,2,2,4C836BE0EDAC4A33BF198D0348DD7CA8,80,72,2,40,1,,2,,4,,4C836BE0EDAC4A33BF198D0348DD7CA8,abstract,Consider the trait of prioritizing mutual understanding and ensuring that you feel heard and supported.
